4.84,32.24,10.48,2.13,0,11.58,1.016,0.06,0
5.46,31.92,0,2.13,0,12.34,1.016,0.06,0
4.58,32.2,0,2.13,0,10.44,1.016,0.06,0
4.33,32.22,0,2.13,0,10.32,1.016,0.06,0
4.37,32.21,10.77,2.13,0,10.52,1.016,0.06,0
4.71,32.09,10.79,2.24,7.82,10.57,0.863,0.063,0
4.73,32.16,10.8,2.24,7.82,10.81,0.863,0.063,0
4.78,32.1,10.79,2.24,7.82,10.68,0.863,0.063,0
4.84,32.04,10.79,2.24,7.81,10.71,0.863,0.063,0
4.78,32.01,10.78,2.24,7.81,10.8,0.863,0.063,0
4.86,31.96,10.75,2.24,7.81,10.75,0.863,0.063,0
4.87,31.97,10.71,2.24,7.81,10.55,0.863,0.063,0
4.85,31.92,10.71,2.24,7.81,10.46,0.863,0.063,0
4.87,32.13,10.79,2.24,7.82,10.61,0.863,0.063,0
4.76,32.11,10.79,2.24,7.82,10.65,0.863,0.063,0
4.71,32.09,10.79,2.24,7.82,10.57,0.863,0.063,0
4.73,32.16,10.8,2.24,7.82,10.81,0.863,0.063,0
4.78,32.1,10.79,2.24,7.82,10.68,0.863,0.063,0
4.84,32.04,10.79,2.24,7.81,10.71,0.863,0.063,0
4.78,32.01,10.78,2.24,7.81,10.8,0.863,0.063,0
4.86,31.96,10.75,2.24,7.81,10.75,0.863,0.063,0
4.87,31.97,10.71,2.24,7.81,10.55,0.863,0.063,0
4.85,31.92,10.71,2.24,7.81,10.46,0.863,0.063,0
4.95,31.9,10.73,2.24,7.8,10.49,0.863,0.063,0
4.88,31.91,10.74,2.77,7.81,10.53,0.617,0.065,1
5.03,31.91,10.75,2.77,7.8,10.56,0.617,0.065,1
5.11,31.93,10.75,2.77,7.8,10.52,0.617,0.065,1
4.77,31.97,10.77,2.77,7.81,10.57,0.617,0.065,1
5.03,31.95,10.78,2.77,7.8,10.69,0.617,0.065,1
4.99,31.98,10.75,2.77,7.79,10.79,0.617,0.065,1
4.56,31.92,10.73,2.77,7.79,10.78,0.617,0.065,1
4.25,31.79,10.69,2.77,7.79,10.7,0.617,0.065,1
4.14,31.88,10.71,2.77,7.8,10.79,0.617,0.065,1
4.07,31.85,10.69,2.77,7.8,10.82,0.617,0.065,1
4.23,31.76,10.7,2.77,7.79,10.8,0.617,0.065,1
4.43,31.77,10.68,2.77,7.79,10.79,0.617,0.065,1
4.61,31.77,10.71,2.83,7.79,10.93,0.617,0.062,1
4.63,31.78,10.68,2.83,7.79,10.9,0.617,0.062,1
4.54,31.81,10.71,2.83,7.79,11.03,0.617,0.062,1
4.46,31.8,10.68,2.83,7.79,10.92,0.617,0.062,1
4.43,31.83,10.72,2.83,7.79,11.03,0.617,0.062,1
4.44,31.83,10.69,2.83,7.79,11.07,0.617,0.062,1
4.41,31.82,10.69,2.83,7.79,10.99,0.617,0.062,1
4.48,31.81,10.68,2.83,7.79,11.1,0.617,0.062,1
4.51,31.73,10.63,2.83,7.78,11.09,0.617,0.062,1
4.38,31.64,10.61,2.83,7.77,11.12,0.617,0.062,1
4.23,31.49,10.58,2.83,7.77,11.33,0.617,0.062,1
4.08,31.43,10.57,2.83,7.77,11.17,0.617,0.062,1
3.92,31.68,10.67,3.09,7.79,11.27,0.77,0.063,1
3.84,32.05,10.69,3.09,7.8,11.29,0.77,0.063,1
